LOINC_NUM,COMPONENT
100000-9,Health informatics pioneer and the father of LOINC
100001-7,Health informatics pioneer and cofounder of LOINC
100002-5,Specimen care is maintained
100003-3,Team communication is maintained throughout care
100004-1,Demonstrates knowledge of the expected psychosocial responses to the procedure
100005-8,Demonstrates knowledge of nutritional management related to the procedure
100006-6,Demonstrates knowledge of medication management
100007-4,Demonstrates knowledge of pain management
10000-8,R wave duration.lead AVR
100008-2,Demonstrates knowledge of wound management
100009-0,Demonstrates knowledge of the procedure and expected results
100010-8,"No injury related to procedure equipment, medical supplies, or instrumentation"
100011-6,No injury related to an electrical source
100012-4,Participates in decisions affecting the patient's plan of care
100013-2,Participates in the discharge process
100014-0,Psychosocial health is maintained at or improved from baseline
100015-7,No injury related to positioning due to care or procedure
10001-6,R wave duration.lead I
100016-5,No injury related to a laser source
100017-3,Perioperative nursing data set outcomes panel
100018-1,Note
100019-9,ALK gene targeted mutation analysis
100020-7,GNA11 gene targeted mutation analysis
100021-5,GNAQ gene targeted mutation analysis
100022-3,IDH1 gene targeted mutation analysis
100023-1,IDH2 gene targeted mutation analysis
10002-4,R wave duration.lead II
100024-9,SETBP1 gene targeted mutation analysis
100025-6,SRSF2 gene targeted mutation analysis
100026-4,MET gene targeted mutation analysis
100027-2,SMAD4 gene targeted mutation analysis
100028-0,FBXW7 gene targeted mutation analysis
100029-8,Cancer related multigene analysis
100030-6,Axis I: Temporal aspects score
100031-4,Axis II: Spatial aspects score
10003-2,R wave duration.lead III
100032-2,Axis III: Drug taking behavior score
100033-0,Axis IV: Utilization of the health care system score
100034-8,Provider of automated external defibrillator use
100035-5,Exam finding location
100036-3,Exam finding location
100037-1,Patient contact disposition
100038-9,Patient evaluation disposition
100039-7,Crew disposition for patient care
10004-0,R wave duration.lead V1
100040-5,Patient transport disposition
100041-3,Aminoglycoside
100042-1,Atovaquone
100043-9,Azithromycin+Ethambutol
100044-7,Cefcapene
100045-4,Cefozopran
100046-2,Cefquinome
100047-0,Cefteram
100048-8,Clarithromycin+Ethambutol
100049-6,Eravacycline
100050-4,Erythromycin+Ethambutol
100051-2,Ethambutol+rifAMPin
100052-0,Flomoxef
100053-8,Fluoroquinolone
100054-6,Gamithromycin
100055-3,Optochin
100056-1,Panipenem
10005-7,R wave duration.lead V2
100057-9,Prothionamide
100058-7,Prulifloxacin
100059-5,Rifapentine
100060-3,Tildipirosin
100061-1,Tosufloxacin
100062-9,Standard Dermatology Outcome Measures panel
100063-7,Primary skin concern
100064-5,Itch severity
10006-5,R wave duration.lead V3
100065-2,Satisfied with treatment
100066-0,Specular microscopy panel
100067-8,Image magnification
100068-6,Fixation point
100069-4,Fixation point
100070-2,Cell density
100071-0,Cell density
100072-8,Coefficient of variation
10007-3,R wave duration.lead V4
100073-6,Coefficient of variation
100074-4,Hexagonality
100075-1,Hexagonality
100076-9,Endothelial cells counted
100077-7,Endothelial cells counted
100078-5,Endothelial cell area.min
100079-3,Endothelial cell area.min
100080-1,Endothelial cell area.max
10008-1,R wave duration.lead V5
100081-9,Endothelial cell area.max
100082-7,Endothelial cell area.mean
100083-5,Endothelial cell area.mean
100084-3,Cell area.standard deviation
100085-0,Cell area.standard deviation
100086-8,Analysis method
100087-6,Toxocara canis 24-35kD Ab.IgG
100088-4,Taenia solium larva Ab bands panel
100089-2,Taenia solium larva 6-8kD Ab
1000-9,DBG Ab
100090-0,Taenia solium larva 45kD Ab
100091-8,Trypanosoma cruzi Ab
100092-6,Trypanosoma cruzi Ab bands panel
100093-4,Trypanosoma cruzi 15-16kD Ab.IgG
100094-2,Trypanosoma cruzi 21-22kD Ab.IgG
100095-9,Trypanosoma cruzi 27-28kD Ab.IgG
100096-7,Trypanosoma cruzi 42kD Ab.IgG
100097-5,Trypanosoma cruzi 45-47kD Ab.IgG
100098-3,Trypanosoma cruzi 120-200kD Ab.IgG
10009-9,R wave duration.lead V6
100099-1,Trypanosoma cruzi 160kD Ab.IgG
100100-7,Fasciola sp Ab.IgG
100101-5,Fasciola sp 8-9kD Ab.IgG
100102-3,Fasciola sp 27-28kD Ab.IgG
100103-1,Fasciola sp 60kD Ab.IgG
100104-9,Fasciola sp 42kD Ab.IgG
100105-6,Filaria Ab.IgG & IgM panel
100106-4,Filaria Ab.IgG
10010-7,R' wave amplitude.lead AVF
100107-2,Leishmania sp Ab.IgG
100108-0,Leishmania sp Ab.IgG
100109-8,Leishmania sp Ab bands panel
100110-6,Leishmania sp 14kD Ab.IgG
100111-4,Leishmania sp 16kD Ab.IgG
100112-2,Fasciola sp Ab bands panel
100113-0,Helicobacter pylori Ab panel
100114-8,Toxoplasma gondii 30kD Ab
10011-5,R' wave amplitude.lead AVL
100115-5,Toxoplasma gondii 31kD Ab
100116-3,Toxoplasma gondii 33kD Ab
100117-1,Toxoplasma gondii 40kD Ab
100118-9,Toxoplasma gondii 41kD Ab
100119-7,Toxoplasma gondii 45kD Ab
100120-5,Chlamydia trachomatis Ab panel
